aDate;target_name;target_ticker;buyer_name;buyer_ticker
18.01.17;CoLucid Pharmaceuticals Inc;CLCD.O^C17;Eli Lilly & Co;LLY
22.01.17;BNC Bancorp,High Point, North Carolina;BNCN.O^F17;Pinnacle Financial Partners Inc;PNFP.O
30.01.17;IXIA;XXIA.O^D17;Keysight Technologies Inc;KEYS.K
02.02.17;Ultratech Inc;UTEK.O^E17;Veeco Instruments Inc;VECO.O
14.02.17;Cynosure Inc;CYNO.O^C17;Hologic Inc;HOLX.O
07.03.17;Nimble Storage Inc;NMBL.K^D17;Hewlett Packard Enterprise Co;HPE
15.03.17;KCG Holdings Inc;KCG^G17;Virtu Financial Inc;VIRT.K
27.03.17;Stonegate Bank,Fort Lauderdale,Florida;SGBK.O^I17;Home BancShares Inc;HOMB.K
25.04.17;AdvancePierre Foods Holdings Inc;APFH.K^F17;Tyson Foods Inc;TSN
25.04.17;Straight Path Communications Inc;STRP.K^B18;Verizon Communications Inc;VZ
27.04.17;Park Sterling Corp,Charlotte,NC;PSTB.O^L17;South State Corp;SSB
04.05.17;Capital Bank Financial Corp;CBF.O^L17;First Horizon National Corp;FHN
09.05.17;West Corp;WSTC.O^J17;Apollo Global Management LLC;APO
09.06.17;DuPont Fabros Technology Inc;DFT^I17;Digital Realty Trust Inc;DLR
16.06.17;Whole Foods Market Inc;WFM.O^H17;Amazon.com Inc;AMZN.O
19.06.17;Rice Energy Inc;RICE.K^K17;EQT Corp;EQT
09.07.17;ClubCorp Holdings Inc;MYCC.K^I17;Apollo Global Management LLC;APO
25.07.17;MainSource Financial Group Inc;MSFG.O^D18;First Financial Bancorp,Cincinnati,Ohio;FFBC.O
14.08.17;Neff Corp;NEFF.K^J17;United Rentals Inc;URI
28.08.17;IXYS Corp;IXYS.O^A18;Littelfuse Inc;LFUS.O
28.08.17;Kite Pharma Inc;KITE.O^J17;Gilead Sciences Inc;GILD.O
04.09.17;Rockwell Collins Inc;COL^K18;United Technologies Corp;UTX_pa^H15
06.09.17;Landauer Inc;LDR^J17;Fortive Corp;FTV
18.09.17;Orbital ATK Inc;OA^F18;Northrop Grumman Corp;NOC
18.09.17;Silver Spring Networks Inc;SSNI.K^A18;Itron Inc;ITRI.O
